# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: /home/abiria/SoCDesign_Class/Lab1DigitalLock/DigitalLockController.csv
# Generated on: Thu Sep  2 01:07:39 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
Enter,Input,PIN_AA15,3B,B3B_N0,,,,,,,,,,,,,,
HEXout[0],Output,PIN_AE26,5A,B5A_N0,,,,,,,,,,,,,,
HEXout[1],Output,PIN_AE27,5A,B5A_N0,,,,,,,,,,,,,,
HEXout[2],Output,PIN_AE28,5A,B5A_N0,,,,,,,,,,,,,,
HEXout[3],Output,PIN_AG27,5A,B5A_N0,,,,,,,,,,,,,,
HEXout[4],Output,PIN_AF28,5A,B5A_N0,,,,,,,,,,,,,,
HEXout[5],Output,PIN_AG28,5A,B5A_N0,,,,,,,,,,,,,,
HEXout[6],Output,PIN_AH28,5A,B5A_N0,,,,,,,,,,,,,,
Open,Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
Reset_Lock,Input,PIN_AA14,3B,B3B_N0,,,,,,,,,,,,,,
State[3],Output,,,,,,,,,,,,,,,,,
State[2],Output,,,,,,,,,,,,,,,,,
State[1],Output,,,,,,,,,,,,,,,,,
State[0],Output,,,,,,,,,,,,,,,,,
X,Input,PIN_AB12,3A,B3A_N0,,,,,,,,,,,,,,
